标题,价格,样式,楼层,朝向,面积,小区,地址
2室1厅，上门实勘，房型正气，链家房源,3400元/月,2室 1厅,中区/11层,朝南北,宝山 杨行,东方丽都,友谊路2858弄
人气房源，交通便利，上门实拍，一室小户型,4000元/月,1室 1厅,高区/29层,朝西南,浦东 花木,新领地,杜鹃路188弄
人气房源，钥匙房，有爱有家，温馨之家,7300元/月,1室 1厅,中区/39层,朝南,虹口 临平路,瑞虹新城（一期）,临平路333号
达安春之声，温馨一室，出行方便，有爱有家,6000元/月,1室 2厅,高区/16层,朝南,普陀 万里,达安春之声,"水泉路88弄,水泉路99弄"
新鲜好房，温馨之家，链家有钥匙，上下楼方便,3600元/月,1室 1厅,低区/6层,朝南,杨浦 中原,市光三村,市光三村
张江汤臣豪园二期，交通方便，新出好房，钥匙在店,12500元/月,3室 2厅,中区/16层,暂无数据,浦东 张江,张江汤臣豪园二期,晨晖路825弄
龙盛佳苑，适合自住，新鲜好房，视野开阔,5300元/月,2室 1厅,高区/15层,朝南,闸北 阳城,龙盛佳苑,沪太路1329弄
上门实拍，受欢迎好房，链家好房，2室2厅1卫,9000元/月,2室 2厅,高区/31层,朝南,黄浦 五里桥,仁德坊,斜土路298弄
吉浦路615弄，钥匙在链家，实地看房，交通方便,3700元/月,2室 1厅,高区/7层,暂无数据,宝山 高境,吉浦路615弄,吉浦路615弄
上海滩大宁城，人气房源，近地铁，低区出入方便,7900元/月,2室 2厅,低区/32层,朝南,闸北 大宁,上海滩大宁城（公寓）,中山北路899弄
虹桥馨苑，享受好房，交通便利，高区景观房,8500元/月,2室 2厅,高区/8层,暂无数据,长宁 中山公园,虹桥馨苑,长宁路1666弄1-11号
1室1厅，出行方便，人气房源，有爱有家,4500元/月,1室 1厅,高区/6层,暂无数据,浦东 源深,梅园六街坊,商城路1177弄
有钥匙，一链倾城，人气房源，闹中取静,9000元/月,1室 1厅,高区/22层,朝南,浦东 杨东,上海绿城,锦和路99弄
临沂八村，实地看房，真实在租，简约二室,5300元/月,2室 1厅,中区/6层,朝南,浦东 南码头,临沂八村,"临沂路81弄,兰陵路23弄"
上门实拍，空气清新，实地看房，有钥匙,4000元/月,1室 0厅,中区/5层,朝南,徐汇 徐家汇,东安一村,"东安路350弄,东安路351弄,东安一村"
如您所见，实地看房，钥匙房，出行方便,5000元/月,2室 1厅,中区/7层,暂无数据,杨浦 鞍山,同济新村,同济新村
看房方便，实地看房，放心好房，出行方便,5000元/月,1室 1厅,中区/6层,暂无数据,浦东 源深,梅园二街坊,"福山路40弄,栖霞路300弄"
百花公寓，真实在租，出行方便，改善住房,7800元/月,3室 1厅,高区/7层,朝南,黄浦 蓬莱公园,百花公寓,"保屯路36弄1-8号,保屯路38号,斜土......"
生活很便利，高区景观房，放心好房，人气房源,4800元/月,2室 1厅,高区/6层,暂无数据,徐汇 康健,桂平小区,"桂平路258弄,桂平路260弄,桂平路2......"
德州七村，实地看房，钥匙在店，上门实勘,4800元/月,2室 1厅,高区/6层,朝南北,浦东 世博,德州七村,"德州路380弄,"
长寿新村，高清照片，好楼层，人气房源,6300元/月,2室 1厅,中区/26层,朝西南,普陀 长寿路,长寿新村（普陀）,常德路1298弄1-4号
实地看房，好楼层，链家好房，看房有钥匙,9000元/月,3室 2厅,中区/7层,暂无数据,徐汇 徐家汇,宛平南路65弄,宛平南路65弄
乐山大楼，生活很便利，多次带看，如您所见,7000元/月,2室 1厅,低区/24层,朝东南,徐汇 徐家汇,乐山大楼,"乐山路3号,乐山路25弄"
有钥匙房源，出行方便，实地看房，享受好房,5000元/月,1室 1厅,中区/6层,朝南,长宁 新华路,法华镇路878弄,法华镇路878弄
紫勋风雅苑，近地铁，看房客户多，上下楼方便,10000元/月,1室 2厅,低区/11层,暂无数据,长宁 新华路,紫勋风雅苑,长顺路36弄
看房客户多，链家有钥匙，放心好房，高区景观房,5200元/月,2室 1厅,高区/6层,朝南,闵行 金虹桥,环镇西路41弄,环镇西路41弄
中远两湾城，钥匙在店，生活很便利，空气清新,8800元/月,2室 2厅,中区/35层,朝南,普陀 中远两湾城,中远两湾城,"远景路97弄、中潭路100弄（四期）,"
有爱有家，2室1厅，交通便利，钥匙房,3500元/月,2室 1厅,高区/6层,朝西,闸北 彭浦,三泉路415弄,三泉路415弄
塘东小区，如您所见，钥匙在链家，高清大图,5500元/月,2室 1厅,低区/18层,朝西南,浦东 塘桥,塘东小区,"峨山路180弄,蓝村路471弄"
东五小区，生活很便利，上门实拍，南北通,3700元/月,1室 1厅,高区/6层,朝南北,浦东 金桥,东五小区（浦东）,东陆路898弄
海滨七村，有钥匙，人气房源，好房好心情,2500元/月,1室 1厅,高区/6层,暂无数据,宝山 淞宝,海滨七村,海滨七村
龙盛佳苑，光线非常好，1室1厅1卫，附近有地铁,4300元/月,1室 1厅,高区/15层,朝南,闸北 阳城,龙盛佳苑,沪太路1329弄
空气清新，实地看房，一室小户型，有钥匙,3800元/月,1室 1厅,中区/6层,暂无数据,闸北 大宁,延长小区（闸北）,"老沪太路101弄,老沪太路115号,老沪......"
交通便利，钥匙在店，实地看房，好房待租,3800元/月,2室 1厅,中区/6层,暂无数据,宝山 淞南,淞南三村,淞南三村
简约二室，真实在租，闹中取静，生活很便利,4200元/月,2室 2厅,高区/18层,朝南,嘉定 嘉定新城,新城金郡,"临泽路88弄,"
新凯城丹桂苑，看房客户多，视野很好，出行方便,3100元/月,2室 1厅,高区/13层,暂无数据,松江 泗泾,新凯城丹桂苑,泗凤公路1718弄
金港花园，好楼层，链家有钥匙，链家房源,4500元/月,2室 2厅,中区/14层,暂无数据,松江 泗泾,金港花园（公寓）,"横港路155弄,古楼公路348弄"
乐山六七村，小户型，多次带看，生活很便利,4500元/月,1室 1厅,中区/7层,朝南,徐汇 徐家汇,乐山六七村,"秀山路4弄,秀山路16弄,乐山路30弄,......"
好楼层，看房客户多，高清大图，交通便利,8500元/月,2室 2厅,中区/18层,暂无数据,浦东 张江,阳光花城,紫薇路667弄1-177号
附近有地铁，2室1厅，上门实拍，好房待租,6800元/月,2室 1厅,中区/18层,朝南北,徐汇 徐家汇,南天大楼,"天钥桥路191弄,南丹东路121-127......"
